,Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,a0,a00
0,1,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,1.0
1,2,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,1.0
2,3,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,1.0
3,4,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,
4,5,,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,1.0,1.0
5,6,,,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,
6,7,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,
7,8,,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,,,,,1.0,,,,,1.0
8,9,,1.0,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,
9,10,,1.0,1.0,,,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,1.0,,,1.0,,
10,11,,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,1.0,,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,,,
11,12,,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,1.0,1.0,,,,
12,13,,,,,1.0,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,
13,14,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,
14,15,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,
15,16,1.0,1.0,,,1.0,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,,,
16,17,,,,,,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,,,
17,18,,,,1.0,,,,,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,,1.0
